order_id,date,product_name,quantity
212-02-6898,2022-05-18,Breakfast Quesadillas,26
808-29-1220,2022-06-01,Beans - Fava Fresh,16
683-99-3831,2022-03-30,Bread - Pumpernickel,44
853-47-2358,2022-05-19,"Wine - Red, Black Opal Shiraz",1
281-06-2489,2022-06-14,Fish - Bones,35
822-84-5313,2022-06-10,Chevere Logs,6
830-16-8008,2022-06-06,Longos - Lasagna Beef,66
127-59-8909,2022-05-25,"Nut - Pecan, Halves",58
717-96-2034,2022-06-09,Lettuce - Iceberg,59
874-84-1326,2022-06-06,Lettuce - Baby Salad Greens,53
288-12-8744,2022-03-22,Smirnoff Green Apple Twist,18
750-65-4211,2022-03-28,Cheese - La Sauvagine,8
630-93-0429,2022-03-24,Tea - Camomele,49
101-22-0905,2022-04-26,Snapple - Iced Tea Peach,18
301-89-5985,2022-06-27,Cheese - Perron Cheddar,13
570-77-3792,2022-04-08,Muffin - Banana Nut Individual,12
562-78-1964,2022-06-17,"Tomatoes - Plum, Canned",52
851-39-0108,2022-04-20,Skirt - 29 Foot,84
742-91-8198,2022-04-10,Salmon - Sockeye Raw,73
645-17-0921,2022-06-18,"Sauce - Soya, Light",61
814-77-8588,2022-06-03,Corn - Mini,42
115-92-4953,2022-04-08,Beef - Ground Lean Fresh,20
715-44-9413,2022-03-21,Couscous,40
753-09-1577,2022-04-09,"Syrup - Monin, Irish Cream",12
637-22-6878,2022-05-19,Salt - Seasoned,23
389-74-9918,2022-06-19,Wine - Cabernet Sauvignon,73
554-95-0515,2022-03-01,Steampan - Lid For Half Size,4
154-20-7699,2022-03-12,Ecolab - Hand Soap Form Antibac,61
591-64-6558,2022-04-28,Whmis Spray Bottle Graduated,38
452-72-9621,2022-04-10,Jameson Irish Whiskey,2
132-42-5414,2022-06-24,Flour - Strong,46
589-30-1996,2022-05-02,"Pork - Chop, Frenched",47
159-08-5584,2022-03-01,Bamboo Shoots - Sliced,59
215-94-1071,2022-05-13,Lobster - Cooked,74
805-61-9059,2022-05-29,Wine - Crozes Hermitage E.,89
617-82-0694,2022-05-17,Bagelers,52
882-65-5329,2022-06-01,Hummus - Spread,66
510-12-9992,2022-05-07,Dish Towel,48
638-54-2746,2022-04-02,Containter - 3oz Microwave Rect.,51
716-21-5640,2022-03-26,Container - Clear 16 Oz,65
472-43-7467,2022-05-29,Vaccum Bag - 14x20,9
634-10-9582,2022-05-27,"Juice - Pineapple, 341 Ml",29
538-39-7354,2022-05-28,Trout - Smoked,31
254-28-9423,2022-05-07,Potatoes - Yukon Gold 5 Oz,5
273-02-4981,2022-06-26,Madeira,73
415-56-7196,2022-03-31,Rice - Sushi,90
286-21-5855,2022-04-02,Corn Meal,26
389-25-6925,2022-03-04,Muffin Mix - Corn Harvest,5
722-16-8054,2022-06-03,Cheese Cloth No 100,5
169-22-6407,2022-05-16,Coffee - Dark Roast,12
657-01-0288,2022-05-09,Allspice - Jamaican,23
551-13-4523,2022-06-05,Cream Of Tartar,10
616-90-8881,2022-04-16,Veal Inside - Provimi,86
517-47-6286,2022-06-19,"Chocolate - Pistoles, Lactee, Milk",13
232-22-6992,2022-05-05,"Bread - Dark Rye, Loaf",71
676-46-1367,2022-04-05,Chives - Fresh,42
570-75-5803,2022-05-27,Potatoes - Mini White 3 Oz,42
223-59-5060,2022-06-23,Plastic Wrap,42
129-79-0434,2022-04-21,Daikon Radish,61
729-80-7796,2022-03-27,Cake - Sheet Strawberry,91
232-30-1483,2022-03-12,Initation Crab Meat,75
850-50-7688,2022-06-09,Worcestershire Sauce,11
865-98-0710,2022-04-10,Corn Syrup,59
567-52-9735,2022-04-14,Pasta - Cheese / Spinach Bauletti,27
324-31-2633,2022-05-25,Soup - Campbellschix Stew,99
605-09-5596,2022-06-08,Bagel - Everything Presliced,54
850-52-9824,2022-05-26,"Mushroom - Porcini, Dry",34
264-83-6090,2022-04-09,Pastry - Apple Large,52
102-65-0198,2022-05-15,Carrots - Mini Red Organic,26
357-50-6604,2022-06-01,Papadam,84
117-40-3307,2022-05-04,Pork - Caul Fat,68
511-22-7125,2022-03-22,Cream - 35%,21
160-22-5376,2022-03-11,Marjoram - Fresh,65
601-63-5142,2022-06-17,Snapple - Mango Maddness,100
817-34-7162,2022-03-30,External Supplier,34
271-32-8498,2022-05-21,"Cup - 3.5oz, Foam",37
752-64-1072,2022-04-09,Towel - Roll White,66
380-89-1099,2022-06-12,Tamarillo,88
789-64-3666,2022-04-09,French Pastry - Mini Chocolate,36
453-81-1076,2022-05-20,Sausage - Blood Pudding,29
533-03-3450,2022-05-29,"Lettuce - Romaine, Heart",80
315-30-5348,2022-05-16,Red Pepper Paste,84
524-98-0993,2022-06-22,Oats Large Flake,52
208-47-6020,2022-05-03,Island Oasis - Peach Daiquiri,92
319-87-0556,2022-05-10,Milk - Skim,42
892-08-3166,2022-03-28,Lamb - Whole Head Off,38
184-87-1763,2022-04-27,Wine - Cotes Du Rhone,19
258-73-4976,2022-05-23,Sauce - Cranberry,81
798-06-1559,2022-05-17,Flavouring - Orange,29
142-91-6083,2022-03-19,"Veal - Insides, Grains",9
509-39-0545,2022-03-21,Cup - 8oz Coffee Perforated,93
493-29-4091,2022-06-02,Cakes Assorted,64
472-50-4663,2022-03-22,Wine - Black Tower Qr,45
390-58-6423,2022-04-23,Easy Off Oven Cleaner,15
602-94-7613,2022-03-21,Tea - Lemon Scented,25
301-67-2471,2022-06-01,Wine - Lamancha Do Crianza,23
850-65-4623,2022-05-09,Soup - Chicken And Wild Rice,87
715-96-9372,2022-05-18,"Vinegar - Balsamic, White",33
403-54-5146,2022-04-23,Cocoa Butter,39
124-27-8683,2022-05-05,Eggplant Italian,53
856-03-3154,2022-03-23,"Nut - Almond, Blanched, Ground",44
348-17-7289,2022-06-16,Beans - Fava Fresh,27
411-96-7097,2022-03-30,Wine - Sauvignon Blanc Oyster,20
661-07-6445,2022-05-19,Ketchup - Tomato,85
325-54-0200,2022-03-21,Steampan - Half Size Shallow,6
598-08-8848,2022-04-14,"Brocolinni - Gaylan, Chinese",39
370-04-1487,2022-03-10,Momiji Oroshi Chili Sauce,26
667-83-2491,2022-06-02,Lemon Tarts,85
749-65-4002,2022-03-02,Water - Aquafina Vitamin,50
417-68-6812,2022-05-10,Pancetta,15
544-55-3597,2022-06-02,Snails - Large Canned,51
897-27-2158,2022-03-15,Soup - Campbells Mushroom,30
129-56-9423,2022-04-15,Tomato - Plum With Basil,81
712-94-3659,2022-06-26,"Liqueur Banana, Ramazzotti",65
188-65-1641,2022-05-20,Cake - Lemon Chiffon,88
100-57-2296,2022-03-09,Vinegar - Rice,32
713-50-4824,2022-06-13,Cafe Royale,78
289-99-1234,2022-03-02,"Soda Water - Club Soda, 355 Ml",28
514-35-4892,2022-06-10,Yams,56
681-55-4502,2022-06-22,Wine - Casablanca Valley,71
808-03-2297,2022-04-05,Potatoes - Mini Red,8
124-44-2929,2022-03-25,"Vinegar - Balsamic, White",93
745-41-6682,2022-06-15,Cheese - Gouda,99
549-80-6232,2022-05-29,"Stock - Veal, Brown",35
181-23-6722,2022-04-08,"Lid - High Heat, Super Clear",1
516-58-6853,2022-06-12,Vaccum Bag - 14x20,52
168-22-3332,2022-05-06,Carbonated Water - Wildberry,26
428-13-9969,2022-04-07,"Crab - Claws, 26 - 30",86
203-43-4094,2022-05-16,Scallops - Live In Shell,14
334-67-3080,2022-04-29,Mace Ground,39
145-52-8495,2022-04-14,"Liqueur Banana, Ramazzotti",54
486-64-7111,2022-03-24,Sauce - Mint,36
691-87-5866,2022-03-27,Container Clear 8 Oz,25
437-28-2044,2022-03-17,Sterno - Chafing Dish Fuel,71
400-01-6593,2022-04-11,Bread - Corn Muffaletta,47
297-32-9614,2022-03-27,Corn Kernels - Frozen,13
580-38-8406,2022-05-03,Pie Filling - Pumpkin,22
424-30-1832,2022-03-15,Icecream Cone - Areo Chocolate,45
524-64-5173,2022-06-08,Beans - Kidney White,30
203-48-7401,2022-05-17,Chicken - Livers,56
129-78-3392,2022-04-11,"Iced Tea - Lemon, 460 Ml",64
373-05-6309,2022-04-20,Appetizer - Southwestern,83
456-20-4513,2022-05-02,Mace Ground,57
762-42-8347,2022-05-29,"Juice - Clam, 46 Oz",47
736-85-7480,2022-06-14,Chip - Potato Dill Pickle,28
158-52-5241,2022-03-28,Flavouring - Raspberry,39
741-62-0190,2022-03-25,Greens Mustard,37
521-34-9542,2022-03-02,Sage - Fresh,16
206-73-4495,2022-03-12,Longos - Grilled Salmon With Bbq,71
475-39-0425,2022-03-20,Cabbage - Savoy,14
470-25-9043,2022-04-22,Table Cloth 144x90 White,57
407-54-8984,2022-05-25,Cheese - St. Paulin,4
174-14-9070,2022-06-21,Berry Brulee,91
684-65-8084,2022-05-27,Rice - Basmati,36
620-79-6875,2022-03-15,Mushroom - Lg - Cello,74
855-04-8696,2022-05-24,Nectarines,71
387-80-5696,2022-03-20,Mousse - Mango,72
119-20-1941,2022-05-31,"Tart Shells - Sweet, 4",44
619-69-6281,2022-05-05,Pork - Ground,81
484-19-6698,2022-06-16,Pickles - Gherkins,94
301-25-4595,2022-05-30,Foam Tray S2,57
811-99-5026,2022-06-21,Dill Weed - Dry,86
830-24-5501,2022-03-19,Rice - Aborio,74
439-79-1138,2022-05-27,"Ham - Smoked, Bone - In",41
569-76-5286,2022-06-23,"Mushroom - Enoki, Dry",100
856-63-2003,2022-03-07,Hagen Daza - Dk Choocolate,63
343-16-9431,2022-04-21,Bagel - Whole White Sesame,2
140-04-1985,2022-03-07,Oats Large Flake,1
155-22-4696,2022-04-03,Slt - Individual Portions,47
878-63-9626,2022-05-27,Wine - Chardonnay Mondavi,74
240-99-6861,2022-03-29,Neckerchief Blck,37
442-36-1393,2022-03-10,Plaintain,4
376-79-0571,2022-04-18,Sauce - Hollandaise,26
231-83-1043,2022-03-05,Dome Lid Clear P92008h,13
183-62-8275,2022-06-28,Butter - Pod,73
514-95-9395,2022-03-12,Mushroom - Portebello,72
470-46-4774,2022-03-27,Cake - Mini Cheesecake,60
731-53-3246,2022-04-18,Beef - Cow Feet Split,59
607-36-2580,2022-05-09,Spice - Onion Powder Granulated,93
546-85-1476,2022-06-26,Mountain Dew,88
317-56-9103,2022-03-16,Pie Shells 10,99
496-86-7826,2022-05-13,Beer - Steamwhistle,77
740-76-0995,2022-04-03,"Potatoes - Yukon Gold, 80 Ct",75
152-67-5667,2022-05-09,Nantucket - Carrot Orange,83
746-61-3996,2022-06-26,"Wine - Red, Cooking",69
449-63-4671,2022-04-05,Cookie Trail Mix,69
457-97-8227,2022-03-13,Zucchini - Yellow,13
261-12-1261,2022-05-23,Octopus,29
157-27-2700,2022-03-21,Oil - Hazelnut,28
725-15-8149,2022-05-20,"Mop Head - Cotton, 24 Oz",89
619-66-3180,2022-06-17,Boogies,3
308-61-4557,2022-04-26,Syrup - Chocolate,5
818-28-5853,2022-06-09,Calvados - Boulard,62
859-02-1275,2022-05-11,Wine - Lamancha Do Crianza,2
244-31-1699,2022-06-03,"Split Peas - Yellow, Dry",50
330-07-6372,2022-05-27,Crackers - Trio,61
311-36-2358,2022-05-15,Red Cod Fillets - 225g,61
707-65-2265,2022-06-06,"Cod - Salted, Boneless",31
376-09-2475,2022-06-01,Bandage - Flexible Neon,73
672-44-2862,2022-05-06,Syrup - Monin - Granny Smith,39
287-75-6209,2022-06-10,"Wine - Red, Cooking",97
426-35-1686,2022-03-29,Pepper - Jalapeno,29
807-42-4205,2022-05-14,"Tart Shells - Savory, 4",46
239-70-3906,2022-04-20,Apron,21
873-04-2799,2022-05-15,Ham - Cooked Bayonne Tinned,54
233-14-1119,2022-03-15,Wine - Touraine Azay - Le - Rideau,67
833-74-9186,2022-03-26,Sloe Gin - Mcguinness,3
105-81-9228,2022-05-10,Longos - Lasagna Veg,8
702-77-5251,2022-03-07,Coffee - Espresso,45
397-43-0439,2022-05-08,Soup - Campbells Broccoli,46
761-95-9670,2022-05-31,Sambuca - Opal Nera,21
538-41-7768,2022-03-06,Juice - Orange 1.89l,5
803-87-0997,2022-04-27,Teriyaki Sauce,76
415-41-6535,2022-05-14,Wine - Lamancha Do Crianza,52
408-59-3855,2022-04-10,"Wine - Red, Gallo, Merlot",89
624-75-5457,2022-05-18,Chocolate - Milk Coating,1
729-04-6332,2022-04-04,Pectin,88
849-04-0907,2022-06-14,Onions - Cippolini,37
846-40-5422,2022-03-10,Ice Cream - Vanilla,15
456-84-9252,2022-04-06,Jolt Cola,44
810-61-6992,2022-04-12,"Juice - Apple, 341 Ml",80
310-16-0975,2022-05-12,"Tart Shells - Barquettes, Savory",50
863-41-8035,2022-05-28,Foil Wrap,7
881-18-0669,2022-05-20,Dates,34
883-49-9436,2022-06-24,Eggwhite Frozen,60
421-57-7877,2022-04-05,"Cherries - Maraschino,jar",79
442-11-0141,2022-04-08,Jolt Cola - Red Eye,26
174-68-7285,2022-04-07,"Pork - Loin, Boneless",20
447-05-4082,2022-06-11,"Vodka - Lemon, Absolut",99
541-14-2967,2022-04-04,Mousse - Passion Fruit,89
876-83-7939,2022-05-03,Veal - Ground,3
304-77-3616,2022-04-27,Potato - Sweet,13
857-04-9899,2022-05-16,Sobe - Cranberry Grapefruit,2
675-98-0511,2022-06-25,Wine - Guy Sage Touraine,47
353-93-5624,2022-04-15,Veal - Insides Provini,17
418-38-0065,2022-05-18,Wine - Bouchard La Vignee Pinot,11
352-10-0992,2022-06-13,Cake Slab,59
750-51-5414,2022-06-16,Chocolate - Mi - Amere Semi,74
513-03-5082,2022-05-28,Bok Choy - Baby,15
767-50-8063,2022-04-12,Wine - Cave Springs Dry Riesling,59
534-34-4263,2022-04-28,Beef - Rib Eye Aaa,49
270-35-0805,2022-05-18,Wine - Rubyport,38
644-47-3438,2022-04-04,Salami - Genova,34
756-10-6485,2022-05-14,Scallops - In Shell,48
586-94-8119,2022-05-02,"Soup - Campbells, Chix Gumbo",54
593-71-5496,2022-03-05,Carbonated Water - Raspberry,53
237-91-7300,2022-05-17,Cake - Cheese Cake 9 Inch,73
814-94-6274,2022-04-06,Sauce - Plum,82
791-08-8757,2022-03-17,Oil - Margarine,92
831-83-2927,2022-03-21,Dish Towel,44
856-01-5879,2022-04-16,Puree - Mocha,19
478-01-4019,2022-05-03,Garbage Bags - Clear,69
543-99-5258,2022-03-28,Pepper - Scotch Bonnet,94
337-25-3632,2022-04-08,Pepper - Roasted Red,62
509-93-1742,2022-05-05,Sprouts Dikon,88
717-35-2849,2022-05-06,Mcguinness - Blue Curacao,45
171-02-3401,2022-05-21,Rice - Sushi,19
550-13-0566,2022-03-18,Cabbage - Green,58
785-77-1802,2022-06-02,Rabbit - Frozen,66
190-21-3855,2022-03-16,True - Vue Containers,60
829-14-2601,2022-05-04,Garbag Bags - Black,14
556-20-3500,2022-05-01,Wine - Magnotta - Belpaese,62
526-29-7323,2022-04-01,Fruit Mix - Light,17
854-31-8345,2022-06-25,Veal - Nuckle,45
279-92-9928,2022-05-20,"Salmon - Whole, 4 - 6 Pounds",42
646-32-0772,2022-06-04,Table Cloth 120 Round White,84
275-15-0739,2022-06-14,V8 Pet,34
694-97-4458,2022-05-22,"Lamb - Whole Head Off,nz",88
827-58-0083,2022-06-22,Gatorade - Orange,34
177-96-7156,2022-06-27,Cream Of Tartar,16
689-20-1339,2022-05-17,Ice Cream - Super Sandwich,78
771-90-5191,2022-03-09,Chickhen - Chicken Phyllo,14
776-27-6707,2022-06-06,Squash - Acorn,37
194-65-7788,2022-03-31,Steampan Lid,1
799-97-9243,2022-06-18,Muffin Orange Individual,30
652-62-1285,2022-06-25,Cups 10oz Trans,35
756-57-3952,2022-06-06,Tea Leaves - Oolong,6
116-11-6504,2022-04-30,Container - Clear 16 Oz,29
395-14-7571,2022-06-06,Lettuce - Green Leaf,65
223-01-8146,2022-03-06,Star Fruit,46
388-45-8936,2022-05-18,Nantucket - Kiwi Berry Cktl.,80
323-17-4583,2022-04-09,Apple - Fuji,71
448-58-1969,2022-05-17,"Quail - Eggs, Fresh",82
579-32-0229,2022-06-29,Five Alive Citrus,51
519-96-5021,2022-06-20,Chicken - Soup Base,2
106-40-4196,2022-04-08,Sprite - 355 Ml,54
488-96-6912,2022-04-11,Cafe Royale,65
223-62-9646,2022-03-14,Frangelico,91
531-63-7208,2022-04-10,"Pepper - Red, Finger Hot",2
787-01-9334,2022-05-19,Baking Powder,95
439-45-2896,2022-06-16,Mix - Cappucino Cocktail,97
162-21-4575,2022-06-28,Initation Crab Meat,25
698-59-1651,2022-04-25,Appetizer - Southwestern,43
362-27-7395,2022-04-30,V8 - Tropical Blend,24
399-59-0434,2022-03-24,Bread - Rye,33
686-69-1960,2022-03-12,Pastry - Baked Cinnamon Stick,51
701-39-2618,2022-05-15,Sole - Iqf,51
679-37-4626,2022-06-16,Pork - Smoked Back Bacon,67
379-18-6255,2022-06-25,Juice - V8 Splash,12
567-52-7153,2022-05-28,Dill Weed - Fresh,3
407-38-7673,2022-03-05,Spring Roll Wrappers,64
549-91-9422,2022-06-14,Lid Coffeecup 12oz D9542b,6
468-10-8908,2022-05-19,Sugar - White Packet,14
210-38-0384,2022-05-04,Onion Powder,43
456-22-2279,2022-04-15,Cheese - St. Paulin,83
372-76-7960,2022-06-04,Nougat - Paste / Cream,60
572-80-8647,2022-05-22,Chinese Foods - Cantonese,2
801-21-1015,2022-03-05,Wine - Domaine Boyar Royal,1
167-81-0665,2022-05-14,Chick Peas - Canned,56
263-26-7515,2022-03-20,Pastry - French Mini Assorted,46
690-65-6752,2022-04-20,Chinese Foods - Thick Noodles,57
744-01-8948,2022-05-19,Nori Sea Weed - Gold Label,39
839-45-2451,2022-04-03,"Beef - Roasted, Cooked",47
536-82-4566,2022-06-01,"Wine - White, Ej Gallo",42
387-83-2645,2022-04-04,Lady Fingers,49
645-17-3646,2022-05-30,"Turkey - Breast, Double",44
533-45-9996,2022-04-12,Lobster - Live,51
884-40-7446,2022-04-23,"Beef - Baby, Liver",82
171-74-3602,2022-06-01,Plasticknivesblack,79
216-03-7476,2022-06-17,Instant Coffee,79
778-26-9805,2022-05-27,"Soup - Knorr, Chicken Noodle",9
720-93-3679,2022-05-20,Chocolate Bar - Smarties,64
388-04-7257,2022-05-24,"Lettuce - Romaine, Heart",71
406-09-0584,2022-05-09,Butcher Twine 4r,11
101-19-1361,2022-04-21,Skirt - 29 Foot,85
550-41-2024,2022-05-03,Cheese - Mascarpone,98
124-64-7747,2022-03-17,"Appetizer - Spring Roll, Veg",80
357-57-1814,2022-04-13,Pepper - Red Chili,11
843-51-8767,2022-04-04,Celery Root,42
757-33-4685,2022-05-29,Pumpkin,48
392-20-0892,2022-06-03,Cheese - Augre Des Champs,71
255-16-4038,2022-05-27,Ginger - Crystalized,85
448-39-0750,2022-06-25,Flower - Leather Leaf Fern,20
655-20-6239,2022-05-12,Bacardi Breezer - Strawberry,80
347-41-4179,2022-06-26,Melon - Cantaloupe,24
147-35-2870,2022-03-26,Savory,19
305-34-7395,2022-03-06,"Beef - Bones, Cut - Up",42
672-88-5268,2022-05-10,Beef - Tenderloin,20
520-91-6619,2022-05-26,Sage Ground Wiberg,57
238-26-3957,2022-03-05,Glycerine,80
266-98-2498,2022-05-14,"Coke - Diet, 355 Ml",89
181-13-6137,2022-03-13,Cherries - Fresh,24
319-64-6851,2022-03-01,Crackers Cheez It,10
285-82-2117,2022-03-05,"Quail - Whole, Boneless",99
508-65-3015,2022-05-05,Napkin Colour,11
371-26-7856,2022-03-16,Wine - Semi Dry Riesling Vineland,46
476-73-4730,2022-05-10,"Crab - Dungeness, Whole, live",19
858-70-9825,2022-03-10,Extract - Rum,64
266-36-0420,2022-03-02,Glove - Cutting,15
332-71-0320,2022-06-09,Juice - Apple 284ml,30
406-09-0102,2022-05-19,Amaretto,39
490-44-0948,2022-06-15,Chambord Royal,8
478-86-2701,2022-03-29,"Yogurt - Strawberry, 175 Gr",34
273-20-4995,2022-03-27,"Soup - Campbells, Butternut",64
828-02-9574,2022-05-02,"Beef - Rib Roast, Capless",18
771-43-4018,2022-06-26,Cilantro / Coriander - Fresh,3
577-81-4952,2022-04-19,Oven Mitt - 13 Inch,85
709-85-5305,2022-05-28,Squash - Pepper,78
522-45-7922,2022-05-01,Pastry - Apple Large,79
133-14-2767,2022-05-20,Canada Dry,42
473-06-5272,2022-05-20,Wine - Magnotta - Cab Sauv,18
563-18-3093,2022-03-24,Pork - Smoked Kassler,70
545-02-8146,2022-05-29,"Wine - Bourgogne 2002, La",11
116-79-3855,2022-04-23,Oil - Olive Bertolli,38
899-87-1278,2022-05-19,Samosa - Veg,38
241-71-1496,2022-05-14,Wood Chips - Regular,93
165-35-4434,2022-06-16,Tuna - Fresh,67
335-86-9965,2022-06-03,Wine - Niagara Peninsula Vqa,33
334-25-4095,2022-06-11,"Shrimp - 16/20, Peeled Deviened",12
455-16-8518,2022-05-13,"Chocolate - Pistoles, White",25
756-45-2209,2022-03-08,"Artichoke - Hearts, Canned",14
327-94-5649,2022-05-11,Bread Roll Foccacia,9
427-40-5521,2022-03-20,"Water - Mineral, Carbonated",4
134-12-9059,2022-03-24,Beef - Striploin,58
575-02-6416,2022-03-31,Tea - Camomele,43
391-48-3528,2022-06-10,Aspic - Amber,92
449-58-2829,2022-05-13,Savory,32
793-77-2416,2022-03-10,Spaghetti Squash,86
234-10-0886,2022-05-22,Lady Fingers,90
495-29-4319,2022-04-22,Container Clear 8 Oz,47
670-62-9981,2022-05-14,Tofu - Firm,40
587-09-3454,2022-05-17,Onions - White,96
281-89-6138,2022-06-01,Bread - Olive Dinner Roll,61
127-90-9876,2022-04-12,Duck - Legs,34
638-25-0188,2022-06-29,"Soup - Campbells, Classic Chix",77
581-63-4389,2022-05-27,Cheese - Mix,93
249-42-2646,2022-05-11,Pail With Metal Handle 16l White,98
763-05-6008,2022-06-21,Sandwich Wrap,82
379-55-6062,2022-05-29,Wine - Zinfandel California 2002,78
187-60-9431,2022-06-16,Crab - Meat Combo,79
472-50-3024,2022-05-04,Yucca,58
758-94-3242,2022-03-09,"Beef - Kindney, Whole",29
817-38-4496,2022-03-10,"Beans - Black Bean, Canned",19
634-65-2020,2022-05-06,Rice - Sushi,94
284-03-1624,2022-05-11,"Rice Pilaf, Dry,package",14
824-42-8659,2022-04-27,"Beans - Navy, Dry",8
567-12-8138,2022-06-14,"Salsify, Organic",88
545-93-4320,2022-04-21,Bread - 10 Grain,95
890-05-1611,2022-03-14,Puree - Passion Fruit,60
291-23-4444,2022-04-11,Appetizer - Crab And Brie,35
639-53-7130,2022-04-07,Spice - Chili Powder Mexican,62
895-12-3174,2022-03-13,"Lamb - Loin, Trimmed, Boneless",53
809-20-8975,2022-05-27,Soup - Chicken And Wild Rice,92
723-67-1415,2022-03-05,Sesame Seed,84
323-33-1309,2022-06-04,Squid - Breaded,99
179-30-0430,2022-03-19,Juice - Lagoon Mango,25
231-56-5832,2022-06-28,Magnotta - Bel Paese White,19
268-97-2655,2022-04-11,Beer - True North Lager,93
795-26-2083,2022-06-02,Breadfruit,9
897-48-0572,2022-06-13,Eel Fresh,84
305-99-8432,2022-06-02,Smoked Paprika,66
817-22-8447,2022-05-08,Island Oasis - Magarita Mix,31
389-74-2268,2022-03-02,Calaloo,91
710-38-6650,2022-05-21,Mix - Cocktail Ice Cream,86
548-26-6975,2022-03-06,"Nut - Pistachio, Shelled",17
442-98-0772,2022-05-02,Chocolate Bar - Reese Pieces,42
261-64-9996,2022-06-18,Hipnotiq Liquor,83
819-39-2654,2022-04-04,Glass Clear 8 Oz,95
467-60-0051,2022-03-16,Soup - Campbells - Chicken Noodle,82
616-70-0072,2022-05-14,Wine - Rubyport,22
816-86-1632,2022-04-27,Ginger - Fresh,26
359-50-5694,2022-05-17,Bagels Poppyseed,68
846-12-4486,2022-04-27,Blouse / Shirt / Sweater,10
408-64-5384,2022-06-26,Galliano,7
726-01-1439,2022-06-19,Clams - Bay,62
438-32-0983,2022-05-31,Mustard - Dijon,6
379-92-8909,2022-06-24,Bread - Hot Dog Buns,1
169-87-6516,2022-04-27,Eggplant - Asian,42
849-06-8460,2022-06-22,Soup - Campbells,70
449-09-1337,2022-04-25,Mousse - Mango,38
700-44-9515,2022-03-28,Nut - Pumpkin Seeds,93
528-05-3407,2022-05-31,"Cheese - Havarti, Salsa",64
195-79-8414,2022-05-28,"Syrup - Monin, Irish Cream",34
362-23-0442,2022-06-18,Sprouts - Alfalfa,41
745-72-6752,2022-05-31,Shrimp - 150 - 250,95
850-09-6585,2022-03-31,Cheese - Brick With Pepper,51
660-59-7247,2022-04-16,Wine - George Duboeuf Rose,95
109-77-4437,2022-05-28,Creme De Menthe Green,73
853-31-0690,2022-03-08,Wine - Cotes Du Rhone Parallele,19
489-08-4424,2022-06-08,Triple Sec - Mcguinness,42
638-60-5709,2022-06-12,Extract - Raspberry,99
620-64-4260,2022-06-28,Butter - Pod,16
404-14-7786,2022-03-13,Parsnip,17
243-72-5984,2022-04-21,Lettuce - Baby Salad Greens,17
761-70-9026,2022-03-28,"Stock - Veal, Brown",5
537-55-9144,2022-06-09,"Fish - Scallops, Cold Smoked",80
620-03-5817,2022-06-24,Sauce - Caesar Dressing,39
111-01-5750,2022-06-03,Mix - Cappucino Cocktail,31
278-08-7078,2022-05-22,Apples - Spartan,21
861-29-1651,2022-06-17,"Beef - Outside, Round",4
828-09-8298,2022-05-07,Wine - Barossa Valley Estate,88
523-40-9491,2022-05-26,Cheese - Perron Cheddar,63
169-96-7799,2022-06-22,Green Tea Refresher,34
